file,name,product_code,label,img_count,heading_count,text_block_count,has_wrapper
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_cleaned_20251113_164427.html,9955999781_cleaned_20251113_164427.html,9955999781,cleaned,22,0,23,True
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_cleaned_20251113_173602.html,9955999781_cleaned_20251113_173602.html,9955999781,cleaned,22,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_cleaned_20251113_194918.html,9955999781_cleaned_20251113_194918.html,9955999781,cleaned,22,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_cleaned_20251113_221839.html,9955999781_cleaned_20251113_221839.html,9955999781,cleaned,22,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_cleaned_20251113_230752.html,9955999781_cleaned_20251113_230752.html,9955999781,cleaned,22,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9955999781_html4_20251114_094736.html,9955999781_html4_20251114_094736.html,9955999781,html4,20,0,17,False
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_162901.html,9956000033_cleaned_20251113_162901.html,9956000033,cleaned,13,0,5,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_164351.html,9956000033_cleaned_20251113_164351.html,9956000033,cleaned,13,0,5,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_173526.html,9956000033_cleaned_20251113_173526.html,9956000033,cleaned,13,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_194842.html,9956000033_cleaned_20251113_194842.html,9956000033,cleaned,13,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_221803.html,9956000033_cleaned_20251113_221803.html,9956000033,cleaned,13,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_cleaned_20251113_230645.html,9956000033_cleaned_20251113_230645.html,9956000033,cleaned,12,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000033_html4_20251114_094700.html,9956000033_html4_20251114_094700.html,9956000033,html4,11,0,3,False
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_162825.html,9956000679_cleaned_20251113_162825.html,9956000679,cleaned,23,0,15,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_164315.html,9956000679_cleaned_20251113_164315.html,9956000679,cleaned,23,0,15,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_173450.html,9956000679_cleaned_20251113_173450.html,9956000679,cleaned,23,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_194807.html,9956000679_cleaned_20251113_194807.html,9956000679,cleaned,23,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_221728.html,9956000679_cleaned_20251113_221728.html,9956000679,cleaned,23,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_222226.html,9956000679_cleaned_20251113_222226.html,9956000679,cleaned,23,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_cleaned_20251113_230540.html,9956000679_cleaned_20251113_230540.html,9956000679,cleaned,23,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956000679_html4_20251114_094624.html,9956000679_html4_20251114_094624.html,9956000679,html4,21,0,13,False
C:\dev_win\naver_crawler\debug\content_outputs\9956001655_cleaned_20251113_194652.html,9956001655_cleaned_20251113_194652.html,9956001655,cleaned,34,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9956002895_cleaned_20251113_194617.html,9956002895_cleaned_20251113_194617.html,9956002895,cleaned,26,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956003455_cleaned_20251113_194541.html,9956003455_cleaned_20251113_194541.html,9956003455,cleaned,17,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9956003571_cleaned_20251113_194504.html,9956003571_cleaned_20251113_194504.html,9956003571,cleaned,29,0,4,True
